Player,Position,Height (in),Weight (lbs),Date of Birth,League,GP,G,A,TP,Season,,First,Last,Name+1,Name+2,Input Array
Noel Fransen,D,72,183,12/07/2005,J20 Nationell,45,20,24,44,2023,,Noel,Fransen,,,"[""Noel"",""Fransen"",""D"",""J20 Nationell"",None,72,183,18.77,45,20,44,0.98,2024]"
Aatos Koivu,F,73,170,06/22/2006,U20 SM-sarja,28,16,15,31,2023,,Aatos,Koivu,,,"[""Aatos"",""Koivu"",""F"",""U20 SM-sarja"",None,73,170,18.23,28,16,31,1.11,2024]"
William Zellers,F,70,163,04/04/2006,USHS-Prep,14,12,10,22,2023,,William,Zellers,,,"[""William"",""Zellers"",""F"",""USHS-Prep"",None,70,163,18.45,14,12,22,1.57,2024]"
Viggo Gustafsson,D,75,195,09/11/2006,J20 Nationell,41,3,16,19,2023,,Viggo,Gustafsson,,,"[""Viggo"",""Gustafsson"",""D"",""J20 Nationell"",None,75,195,18.01,41,3,19,0.46,2024]"
Logan Sawyer,F,73,173,05/06/2006,BCHL,20,9,10,19,2023,,Logan,Sawyer,,,"[""Logan"",""Sawyer"",""F"",""BCHL"",None,73,173,18.36,20,9,19,0.95,2024]"
Ondrej Kos,F,74,167,03/07/2006,Mestis,14,3,2,5,2023,,Ondrej,Kos,,,"[""Ondrej"",""Kos"",""F"",""Mestis"",None,74,167,18.52,14,3,5,0.36,2024]"
Kasper Pikkarainen,F,75,194,08/07/2006,U20 SM-sarja,34,12,16,28,2023,,Kasper,Pikkarainen,,,"[""Kasper"",""Pikkarainen"",""F"",""U20 SM-sarja"",None,75,194,18.11,34,12,28,0.82,2024]"
Herman Traff,F,75,203,12/31/2005,J20 Nationell,26,13,8,21,2023,,Herman,Traff,,,"[""Herman"",""Traff"",""F"",""J20 Nationell"",None,75,203,18.71,26,13,21,0.81,2024]"
Jack Pridham,F,73,176,10/08/2005,BCHL,54,23,26,49,2023,,Jack,Pridham,,,"[""Jack"",""Pridham"",""F"",""BCHL"",None,73,176,18.94,54,23,49,0.91,2024]"
Melvin Fernström,F,73,185,02/28/2006,J20 Nationell,45,31,32,63,2023,,Melvin,Fernström,,,"[""Melvin"",""Fernström"",""F"",""J20 Nationell"",None,73,185,18.54,45,31,63,1.4,2024]"
Matvei Shuravin,D,76,218,03/22/2006,MHL,22,0,7,7,2023,,Matvei,Shuravin,,,"[""Matvei"",""Shuravin"",""D"",""MHL"",None,76,218,18.48,22,0,7,0.32,2024]"
Gregor Biber,D,75,187,08/09/2006,J20 Nationell,40,2,4,6,2023,,Gregor,Biber,,,"[""Gregor"",""Biber"",""D"",""J20 Nationell"",None,75,187,18.1,40,2,6,0.15,2024]"
Trevor Hoskin,F,73,175,05/18/2004,OJHL,52,42,58,100,2023,,Trevor,Hoskin,,,"[""Trevor"",""Hoskin"",""F"",""OJHL"",None,73,175,20.33,52,42,100,1.92,2024]"
Heikki Ruohonen,F,73,204,06/19/2006,U20 SM-sarja,37,20,27,47,2023,,Heikki,Ruohonen,,,"[""Heikki"",""Ruohonen"",""F"",""U20 SM-sarja"",None,73,204,18.24,37,20,47,1.27,2024]"
Javon Moore,F,75,195,12/07/2005,USHS-MN,28,26,27,53,2023,,Javon,Moore,,,"[""Javon"",""Moore"",""F"",""USHS-MN"",None,75,195,18.77,28,26,53,1.89,2024]"
Victor Johansson,D,73,143,04/25/2006,J20 Nationell,34,2,6,8,2023,,Victor,Johansson,,,"[""Victor"",""Johansson"",""D"",""J20 Nationell"",None,73,143,18.39,34,2,8,0.24,2024]"
Alexander Siryatsky,D,74,159,08/04/2006,MHL,36,5,14,19,2023,,Alexander,Siryatsky,,,"[""Alexander"",""Siryatsky"",""D"",""MHL"",None,74,159,18.11,36,5,19,0.53,2024]"
Viktor Norringer,F,75,197,08/31/2006,J20 Nationell,25,8,4,12,2023,,Viktor,Norringer,,,"[""Viktor"",""Norringer"",""F"",""J20 Nationell"",None,75,197,18.04,25,8,12,0.48,2024]"
Hagen Burrows,F,74,174,10/13/2005,USHS-MN,28,19,40,59,2023,,Hagen,Burrows,,,"[""Hagen"",""Burrows"",""F"",""USHS-MN"",None,74,174,18.92,28,19,59,2.11,2024]"
Oskar Vuollet,F,71,173,12/03/2005,J20 Nationell,41,29,32,61,2023,,Oskar,Vuollet,,,"[""Oskar"",""Vuollet"",""F"",""J20 Nationell"",None,71,173,18.78,41,29,61,1.49,2024]"
Eerik Wallenius,D,76,217,01/16/2006,U18 SM-sarja,37,3,11,14,2023,,Eerik,Wallenius,,,"[""Eerik"",""Wallenius"",""D"",""U18 SM-sarja"",None,76,217,18.66,37,3,14,0.38,2024]"
Joel Svensson,F,73,185,04/15/2005,J20 Nationell,25,24,9,33,2023,,Joel,Svensson,,,"[""Joel"",""Svensson"",""F"",""J20 Nationell"",None,73,185,19.42,25,24,33,1.32,2024]"
Sebastian Soini,D,74,183,06/10/2006,Mestis,32,0,8,8,2023,,Sebastian,Soini,,,"[""Sebastian"",""Soini"",""D"",""Mestis"",None,74,183,18.26,32,0,8,0.25,2024]"
Joona Saarelainen,F,69,193,04/04/2006,U20 SM-sarja,41,13,23,36,2023,,Joona,Saarelainen,,,"[""Joona"",""Saarelainen"",""F"",""U20 SM-sarja"",None,69,193,18.45,41,13,36,0.88,2024]"
Miroslav Holinka,F,74,188,11/10/2005,Czechia U20,29,20,21,41,2023,,Miroslav,Holinka,,,"[""Miroslav"",""Holinka"",""F"",""Czechia U20"",None,74,188,18.85,29,20,41,1.41,2024]"
Alexander Plesovskikh,F,74,174,08/01/2006,MHL,33,8,9,17,2023,,Alexander,Plesovskikh,,,"[""Alexander"",""Plesovskikh"",""F"",""MHL"",None,74,174,18.12,33,8,17,0.52,2024]"
Ales Cech,D,75,196,06/01/2004,Czechia,40,0,7,7,2023,,Ales,Cech,,,"[""Ales"",""Cech"",""D"",""Czechia"",None,75,196,20.29,40,0,7,0.18,2024]"
Jonathan Morello,F,73,178,07/31/2006,OJHL,50,25,32,57,2023,,Jonathan,Morello,,,"[""Jonathan"",""Morello"",""F"",""OJHL"",None,73,178,18.13,50,25,57,1.14,2024]"
Markus Loponen,F,73,186,06/17/2006,U20 SM-sarja,45,25,29,54,2023,,Markus,Loponen,,,"[""Markus"",""Loponen"",""F"",""U20 SM-sarja"",None,73,186,18.24,45,25,54,1.2,2024]"
Niilopekka Muhonen,D,77,208,02/28/2006,U20 SM-sarja,27,4,7,11,2023,,Niilopekka,Muhonen,,,"[""Niilopekka"",""Muhonen"",""D"",""U20 SM-sarja"",None,77,208,18.54,27,4,11,0.41,2024]"
Luke Ashton,D,78,231,01/21/2005,BCHL,53,18,18,36,2023,,Luke,Ashton,,,"[""Luke"",""Ashton"",""D"",""BCHL"",None,78,231,19.65,53,18,36,0.68,2024]"
Ben Merrill,F,75,190,11/04/2005,USHS-Prep,25,18,19,37,2023,,Ben,Merrill,,,"[""Ben"",""Merrill"",""F"",""USHS-Prep"",None,75,190,18.86,25,18,37,1.48,2024]"
Vojtech Hradec,F,76,202,09/24/2005,Czechia,25,1,0,1,2023,,Vojtech,Hradec,,,"[""Vojtech"",""Hradec"",""F"",""Czechia"",None,76,202,18.98,25,1,1,0.04,2024]"
Timur Kol,D,76,204,08/23/2006,VHL,23,5,3,8,2023,,Timur,Kol,,,"[""Timur"",""Kol"",""D"",""VHL"",None,76,204,18.06,23,5,8,0.35,2024]"
Stepan Gorbunov,F,77,196,08/11/2006,MHL,40,10,12,22,2023,,Stepan,Gorbunov,,,"[""Stepan"",""Gorbunov"",""F"",""MHL"",None,77,196,18.09,40,10,22,0.55,2024]"
Ilya Pautov,F,71,167,05/03/2006,MHL,46,15,30,45,2023,,Ilya,Pautov,,,"[""Ilya"",""Pautov"",""F"",""MHL"",None,71,167,18.37,46,15,45,0.98,2024]"
Charlie Forslund,F,75,212,05/04/2006,J18 Div.1,26,18,18,36,2023,,Charlie,Forslund,,,"[""Charlie"",""Forslund"",""F"",""J18 Div.1"",None,75,212,18.36,26,18,36,1.38,2024]"
Petr Sikora,F,71,172,01/02/2006,Czechia U20,30,13,27,40,2023,,Petr,Sikora,,,"[""Petr"",""Sikora"",""F"",""Czechia U20"",None,71,172,18.7,30,13,40,1.33,2024]"
Albin Sundin,D,74,198,08/13/2004,J20 Nationell,41,4,13,17,2023,,Albin,Sundin,,,"[""Albin"",""Sundin"",""D"",""J20 Nationell"",None,74,198,20.09,41,4,17,0.41,2024]"
Roman Shokhrin,D,77,205,02/19/2006,MHL,28,2,10,12,2023,,Roman,Shokhrin,,,"[""Roman"",""Shokhrin"",""D"",""MHL"",None,77,205,18.57,28,2,12,0.43,2024]"
Loke Johansson,D,75,214,12/14/2005,J20 Nationell,33,5,8,13,2023,,Loke,Johansson,,,"[""Loke"",""Johansson"",""D"",""J20 Nationell"",None,75,214,18.75,33,5,13,0.39,2024]"
Fyodor Avramov,F,75,190,11/19/2005,MHL,49,23,21,44,2023,,Fyodor,Avramov,,,"[""Fyodor"",""Avramov"",""F"",""MHL"",None,75,190,18.82,49,23,44,0.9,2024]"
Ludvig Lafton,D,74,187,01/11/2006,Norway,21,0,2,2,2023,,Ludvig,Lafton,,,"[""Ludvig"",""Lafton"",""D"",""Norway"",None,74,187,18.68,21,0,2,0.1,2024]"
Matt Lahey,D,77,203,07/17/2006,BCHL,54,2,17,19,2023,,Matt,Lahey,,,"[""Matt"",""Lahey"",""D"",""BCHL"",None,77,203,18.16,54,2,19,0.35,2024]"
Vasily Zelenov,F,72,180,02/02/2006,AlpsHL,40,14,23,37,2023,,Vasily,Zelenov,,,"[""Vasily"",""Zelenov"",""F"",""AlpsHL"",None,72,180,18.62,40,14,37,0.93,2024]"
Austin Moline,D,76,193,11/21/2005,USHS-Prep,57,8,27,35,2023,,Austin,Moline,,,"[""Austin"",""Moline"",""D"",""USHS-Prep"",None,76,193,18.82,57,8,35,0.61,2024]"
Makar Khanin,F,72,161,03/17/2005,VHL,35,9,18,27,2023,,Makar,Khanin,,,"[""Makar"",""Khanin"",""F"",""VHL"",None,72,161,19.49,35,9,27,0.77,2024]"
Matvei Korotky,F,74,198,12/23/2005,MHL,51,20,18,38,2023,,Matvei,Korotky,,,"[""Matvei"",""Korotky"",""F"",""MHL"",None,74,198,18.73,51,20,38,0.75,2024]"
Miroslav Satan,F,79,190,03/02/2006,Slovakia U20,26,14,16,30,2023,,Miroslav,Satan,,,"[""Miroslav"",""Satan"",""F"",""Slovakia U20"",None,79,190,18.54,26,14,30,1.15,2024]"
Darels Uljanskis,D,74,194,08/25/2006,J20 Nationell,45,11,18,29,2023,,Darels,Uljanskis,,,"[""Darels"",""Uljanskis"",""D"",""J20 Nationell"",None,74,194,18.06,45,11,29,0.64,2024]"
Andrey Krutov,F,71,174,04/25/2006,MHL,41,21,29,50,2023,,Andrey,Krutov,,,"[""Andrey"",""Krutov"",""F"",""MHL"",None,71,174,18.39,41,21,50,1.22,2024]"
Basile Sansonnens,D,75,196,08/19/2006,U20-Elit,40,1,2,3,2023,,Basile,Sansonnens,,,"[""Basile"",""Sansonnens"",""D"",""U20-Elit"",None,75,196,18.07,40,1,3,0.08,2024]"
William Samuelsson,F,72,176,09/27/2005,J20 Nationell,50,18,26,44,2023,,William,Samuelsson,,,"[""William"",""Samuelsson"",""F"",""J20 Nationell"",None,72,176,18.97,50,18,44,0.88,2024]"
Rasmus Bergqvist,D,74,181,06/05/2005,J20 Nationell,36,4,8,12,2023,,Rasmus,Bergqvist,,,"[""Rasmus"",""Bergqvist"",""D"",""J20 Nationell"",None,74,181,19.28,36,4,12,0.33,2024]"
Shakir Mukhamadullin,D,76,200,01/10/2002,AHL,55,7,27,34,2023,,Shakir,Mukhamadullin,,,"[""Shakir"",""Mukhamadullin"",""D"",""AHL"",None,76,200,22.68,55,7,34,0.62,2024]"
Jacob Perreault,F,71,185,04/15/2002,AHL,31,7,11,18,2023,,Jacob,Perreault,,,"[""Jacob"",""Perreault"",""F"",""AHL"",None,71,185,22.42,31,7,18,0.58,2024]"
Brendan Brisson,F,72,198,10/22/2001,AHL,52,19,19,38,2023,,Brendan,Brisson,,,"[""Brendan"",""Brisson"",""F"",""AHL"",None,72,198,22.9,52,19,38,0.73,2024]"
Mavrik Bourque,F,71,181,01/08/2002,AHL,71,26,51,77,2023,,Mavrik,Bourque,,,"[""Mavrik"",""Bourque"",""F"",""AHL"",None,71,181,22.69,71,26,77,1.08,2024]"
Ozzy Wiesblatt,F,70,183,03/09/2002,AHL,34,3,8,11,2023,,Ozzy,Wiesblatt,,,"[""Ozzy"",""Wiesblatt"",""F"",""AHL"",None,70,183,22.52,34,3,11,0.32,2024]"
William Wallinder,D,76,191,07/28/2002,AHL,65,3,12,15,2023,,William,Wallinder,,,"[""William"",""Wallinder"",""D"",""AHL"",None,76,191,22.13,65,3,15,0.23,2024]"
Roby Jarventie,F,74,184,08/08/2002,AHL,22,9,11,20,2023,,Roby,Jarventie,,,"[""Roby"",""Jarventie"",""F"",""AHL"",None,74,184,22.1,22,9,20,0.91,2024]"
Helge Grans,D,76,205,05/10/2002,AHL,56,1,7,8,2023,,Helge,Grans,,,"[""Helge"",""Grans"",""D"",""AHL"",None,76,205,22.35,56,1,8,0.14,2024]"
Sam Colangelo,F,74,211,12/26/2001,NCAA,38,24,19,43,2023,,Sam,Colangelo,,,"[""Sam"",""Colangelo"",""F"",""NCAA"",None,74,211,22.72,38,24,43,1.13,2024]"
Marat Khusnutdinov,F,71,176,07/17/2002,KHL,49,6,14,20,2023,,Marat,Khusnutdinov,,,"[""Marat"",""Khusnutdinov"",""F"",""KHL"",None,71,176,22.16,49,6,20,0.41,2024]"
Thomas Bordeleau,F,70,175,01/03/2002,AHL,35,11,14,25,2023,,Thomas,Bordeleau,,,"[""Thomas"",""Bordeleau"",""F"",""AHL"",None,70,175,22.7,35,11,25,0.71,2024]"
Ryan O'Rourke,D,73,179,05/16/2002,AHL,70,3,9,12,2023,,Ryan,O'Rourke,,,"[""Ryan"",""O'Rourke"",""D"",""AHL"",None,73,179,22.33,70,3,12,0.17,2024]"
Daniel Torgersson,F,75,199,01/26/2002,AHL,52,1,8,9,2023,,Daniel,Torgersson,,,"[""Daniel"",""Torgersson"",""F"",""AHL"",None,75,199,22.64,52,1,9,0.17,2024]"
Noel Gunler,F,74,185,10/07/2001,Liiga,24,5,3,8,2023,,Noel,Gunler,,,"[""Noel"",""Gunler"",""F"",""Liiga"",None,74,185,22.94,24,5,8,0.33,2024]"
Emil Heineman,F,74,198,11/16/2001,AHL,48,15,14,29,2023,,Emil,Heineman,,,"[""Emil"",""Heineman"",""F"",""AHL"",None,74,198,22.83,48,15,29,0.6,2024]"
Tyler Kleven,D,77,221,01/10/2002,AHL,53,5,16,21,2023,,Tyler,Kleven,,,"[""Tyler"",""Kleven"",""D"",""AHL"",None,77,221,22.68,53,5,21,0.4,2024]"
Luke Tuch,F,75,215,03/07/2002,NCAA,39,10,20,30,2023,,Luke,Tuch,,,"[""Luke"",""Tuch"",""F"",""NCAA"",None,75,215,22.52,39,10,30,0.77,2024]"
Jan Mysak,F,71,192,06/24/2002,AHL,48,13,7,20,2023,,Jan,Mysak,,,"[""Jan"",""Mysak"",""F"",""AHL"",None,71,192,22.23,48,13,20,0.42,2024]"
Yan Kuznetsov,D,76,209,03/09/2002,AHL,63,5,8,13,2023,,Yan,Kuznetsov,,,"[""Yan"",""Kuznetsov"",""D"",""AHL"",None,76,209,22.52,63,5,13,0.21,2024]"
Vasily Ponomarev,F,70,180,03/13/2002,AHL,39,8,21,29,2023,,Vasily,Ponomarev,,,"[""Vasily"",""Ponomarev"",""F"",""AHL"",None,70,180,22.51,39,8,29,0.74,2024]"
Emil Andrae,D,69,189,02/23/2002,AHL,61,5,27,32,2023,,Emil,Andrae,,,"[""Emil"",""Andrae"",""D"",""AHL"",None,69,189,22.56,61,5,32,0.52,2024]"
Cross Hanas,F,73,171,01/05/2002,AHL,58,8,8,16,2023,,Cross,Hanas,,,"[""Cross"",""Hanas"",""F"",""AHL"",None,73,171,22.69,58,8,16,0.28,2024]"
Tristen Robins,F,70,176,11/15/2001,AHL,42,7,11,18,2023,,Tristen,Robins,,,"[""Tristen"",""Robins"",""F"",""AHL"",None,70,176,22.83,42,7,18,0.43,2024]"
Jack Finley,F,78,220,09/02/2002,AHL,52,13,19,32,2023,,Jack,Finley,,,"[""Jack"",""Finley"",""F"",""AHL"",None,78,220,22.04,52,13,32,0.62,2024]"
Roni Hirvonen,F,70,178,01/10/2002,AHL,37,7,6,13,2023,,Roni,Hirvonen,,,"[""Roni"",""Hirvonen"",""F"",""AHL"",None,70,178,22.68,37,7,13,0.35,2024]"
Egor Sokolov,F,75,222,06/07/2000,AHL,71,21,25,46,2023,,Egor,Sokolov,,,"[""Egor"",""Sokolov"",""F"",""AHL"",None,75,222,24.27,71,21,46,0.65,2024]"
Gage Goncalves,F,73,184,01/16/2001,AHL,69,13,45,58,2023,,Gage,Goncalves,,,"[""Gage"",""Goncalves"",""F"",""AHL"",None,73,184,23.66,69,13,58,0.84,2024]"
Donovan Sebrango,D,74,221,01/12/2002,AHL,35,0,7,7,2023,,Donovan,Sebrango,,,"[""Donovan"",""Sebrango"",""D"",""AHL"",None,74,221,22.68,35,0,7,0.2,2024]"
Topi Niemela,D,72,179,03/25/2002,AHL,68,8,31,39,2023,,Topi,Niemela,,,"[""Topi"",""Niemela"",""D"",""AHL"",None,72,179,22.47,68,8,39,0.57,2024]"
Daemon Hunt,D,73,201,05/15/2002,AHL,51,3,26,29,2023,,Daemon,Hunt,,,"[""Daemon"",""Hunt"",""D"",""AHL"",None,73,201,22.33,51,3,29,0.57,2024]"
Ian Moore,D,74,171,01/04/2002,NCAA,21,3,5,8,2023,,Ian,Moore,,,"[""Ian"",""Moore"",""D"",""NCAA"",None,74,171,22.7,21,3,8,0.38,2024]"
Lukas Cormier,D,71,190,03/27/2002,AHL,58,4,16,20,2023,,Lukas,Cormier,,,"[""Lukas"",""Cormier"",""D"",""AHL"",None,71,190,22.47,58,4,20,0.34,2024]"
Alexander Nikishin,D,75,196,10/02/2001,KHL,67,17,39,56,2023,,Alexander,Nikishin,,,"[""Alexander"",""Nikishin"",""D"",""KHL"",None,75,196,22.95,67,17,56,0.84,2024]"
Eemil Viro,D,72,165,04/03/2002,AHL,32,1,5,6,2023,,Eemil,Viro,,,"[""Eemil"",""Viro"",""D"",""AHL"",None,72,165,22.45,32,1,6,0.19,2024]"
Jeremie Poirier,D,73,196,06/02/2002,AHL,23,3,10,13,2023,,Jeremie,Poirier,,,"[""Jeremie"",""Poirier"",""D"",""AHL"",None,73,196,22.29,23,3,13,0.57,2024]"
Luke Prokop,D,78,224,05/06/2002,ECHL,55,5,23,28,2023,,Luke,Prokop,,,"[""Luke"",""Prokop"",""D"",""ECHL"",None,78,224,22.36,55,5,28,0.51,2024]"
Ty Smilanic,F,72,171,01/20/2002,ECHL,31,1,6,7,2023,,Ty,Smilanic,,,"[""Ty"",""Smilanic"",""F"",""ECHL"",None,72,171,22.65,31,1,7,0.23,2024]"
Jean-Luc Foudy,F,71,177,05/13/2002,AHL,26,4,10,14,2023,,Jean-Luc,Foudy,,,"[""Jean-Luc"",""Foudy"",""F"",""AHL"",None,71,177,22.34,26,4,14,0.54,2024]"
Danil Gushchin,F,68,165,02/06/2002,AHL,56,20,34,54,2023,,Danil,Gushchin,,,"[""Danil"",""Gushchin"",""F"",""AHL"",None,68,165,22.61,56,20,54,0.96,2024]"
Samuel Knazko,D,73,198,08/07/2002,AHL,44,2,10,12,2023,,Samuel,Knazko,,,"[""Samuel"",""Knazko"",""D"",""AHL"",None,73,198,22.11,44,2,12,0.27,2024]"
Landon Slaggert,F,72,180,06/25/2002,NCAA,36,20,11,31,2023,,Landon,Slaggert,,,"[""Landon"",""Slaggert"",""F"",""NCAA"",None,72,180,22.22,36,20,31,0.86,2024]"
Jake Boltmann,D,73,188,10/19/2001,NCAA,30,0,2,2,2023,,Jake,Boltmann,,,"[""Jake"",""Boltmann"",""D"",""NCAA"",None,73,188,22.91,30,0,2,0.07,2024]"
Wyatt Kaiser,D,72,173,07/31/2002,AHL,37,4,14,18,2023,,Wyatt,Kaiser,,,"[""Wyatt"",""Kaiser"",""D"",""AHL"",None,72,173,22.13,37,4,18,0.49,2024]"
Joni Jurmo,D,75,190,04/19/2002,Liiga,28,0,1,1,2023,,Joni,Jurmo,,,"[""Joni"",""Jurmo"",""D"",""Liiga"",None,75,190,22.41,28,0,1,0.04,2024]"
Maxim Groshev,F,74,198,12/14/2001,AHL,67,10,20,30,2023,,Maxim,Groshev,,,"[""Maxim"",""Groshev"",""F"",""AHL"",None,74,198,22.75,67,10,30,0.45,2024]"
Dylan Peterson,F,76,192,01/08/2002,NCAA,35,8,12,20,2023,,Dylan,Peterson,,,"[""Dylan"",""Peterson"",""F"",""NCAA"",None,76,192,22.69,35,8,20,0.57,2024]"
Justin Sourdif,F,71,181,03/24/2002,AHL,58,12,26,38,2023,,Justin,Sourdif,,,"[""Justin"",""Sourdif"",""F"",""AHL"",None,71,181,22.48,58,12,38,0.66,2024]"
Leo Loof,D,74,176,04/25/2002,AHL,58,0,7,7,2023,,Leo,Loof,,,"[""Leo"",""Loof"",""D"",""AHL"",None,74,176,22.39,58,0,7,0.12,2024]"
Trevor Kuntar,F,72,205,06/20/2001,AHL,70,10,10,20,2023,,Trevor,Kuntar,,,"[""Trevor"",""Kuntar"",""F"",""AHL"",None,72,205,23.24,70,10,20,0.29,2024]"
Jackson Hallum,F,71,163,09/08/2002,NCAA,9,3,5,8,2023,,Jackson,Hallum,,,"[""Jackson"",""Hallum"",""F"",""NCAA"",None,71,163,22.02,9,3,8,0.89,2024]"
Jack Thompson,D,73,189,03/19/2002,AHL,46,5,27,32,2023,,Jack,Thompson,,,"[""Jack"",""Thompson"",""D"",""AHL"",None,73,189,22.49,46,5,32,0.7,2024]"
Zayde Wisdom,F,71,195,07/07/2002,AHL,49,2,1,3,2023,,Zayde,Wisdom,,,"[""Zayde"",""Wisdom"",""F"",""AHL"",None,71,195,22.19,49,2,3,0.06,2024]"
Mike Benning,D,69,185,01/05/2002,AHL,72,9,17,26,2023,,Mike,Benning,,,"[""Mike"",""Benning"",""D"",""AHL"",None,69,185,22.69,72,9,26,0.36,2024]"
Brandon Coe,F,76,188,12/01/2001,AHL,57,12,5,17,2023,,Brandon,Coe,,,"[""Brandon"",""Coe"",""F"",""AHL"",None,76,188,22.79,57,12,17,0.3,2024]"
Adam Wilsby,D,73,188,08/07/2000,AHL,61,8,13,21,2023,,Adam,Wilsby,,,"[""Adam"",""Wilsby"",""D"",""AHL"",None,73,188,24.11,61,8,21,0.34,2024]"
Jack Smith,F,72,185,07/06/2002,NCAA,34,3,9,12,2023,,Jack,Smith,,,"[""Jack"",""Smith"",""F"",""NCAA"",None,72,185,22.19,34,3,12,0.35,2024]"
Zachary Uens,D,73,190,05/13/2001,ECHL,61,3,17,20,2023,,Zachary,Uens,,,"[""Zachary"",""Uens"",""D"",""ECHL"",None,73,190,23.34,61,3,20,0.33,2024]"
Jackson Kunz,F,75,210,08/13/2002,NCAA,37,9,10,19,2023,,Jackson,Kunz,,,"[""Jackson"",""Kunz"",""F"",""NCAA"",None,75,210,22.09,37,9,19,0.51,2024]"
Mikael Pyyhtia,F,72,176,12/17/2001,AHL,60,7,21,28,2023,,Mikael,Pyyhtia,,,"[""Mikael"",""Pyyhtia"",""F"",""AHL"",None,72,176,22.74,60,7,28,0.47,2024]"
Bogdan Trineyev,F,75,198,03/04/2002,AHL,63,9,7,16,2023,,Bogdan,Trineyev,,,"[""Bogdan"",""Trineyev"",""F"",""AHL"",None,75,198,22.53,63,9,16,0.25,2024]"
Tanner Dickinson,F,72,169,03/05/2002,ECHL,45,8,18,26,2023,,Tanner,Dickinson,,,"[""Tanner"",""Dickinson"",""F"",""ECHL"",None,72,169,22.53,45,8,26,0.58,2024]"
Ethan Edwards,D,70,176,06/06/2002,NCAA,21,3,7,10,2023,,Ethan,Edwards,,,"[""Ethan"",""Edwards"",""D"",""NCAA"",None,70,176,22.28,21,3,10,0.48,2024]"
Alex Jefferies,F,72,200,11/08/2001,NCAA,22,13,10,23,2023,,Alex,Jefferies,,,"[""Alex"",""Jefferies"",""F"",""NCAA"",None,72,200,22.85,22,13,23,1.05,2024]"
William Villeneuve,D,74,183,03/20/2002,AHL,54,2,23,25,2023,,William,Villeneuve,,,"[""William"",""Villeneuve"",""D"",""AHL"",None,74,183,22.49,54,2,25,0.46,2024]"
Antonio Stranges,F,74,200,02/05/2002,AHL,55,11,12,23,2023,,Antonio,Stranges,,,"[""Antonio"",""Stranges"",""F"",""AHL"",None,74,200,22.61,55,11,23,0.42,2024]"
Sean Farrell,F,69,182,11/02/2001,AHL,47,9,19,28,2023,,Sean,Farrell,,,"[""Sean"",""Farrell"",""F"",""AHL"",None,69,182,22.87,47,9,28,0.6,2024]"
Tyler Tullio,F,70,165,04/05/2002,AHL,54,9,12,21,2023,,Tyler,Tullio,,,"[""Tyler"",""Tullio"",""F"",""AHL"",None,70,165,22.44,54,9,21,0.39,2024]"
Martin Chromiak,F,72,187,08/20/2002,AHL,70,15,17,32,2023,,Martin,Chromiak,,,"[""Martin"",""Chromiak"",""F"",""AHL"",None,72,187,22.07,70,15,32,0.46,2024]"
Artyom Galimov,F,72,176,09/08/1999,KHL,51,5,6,11,2023,,Artyom,Galimov,,,"[""Artyom"",""Galimov"",""F"",""KHL"",None,72,176,25.02,51,5,11,0.22,2024]"
Matteo Costantini,F,72,173,08/16/2002,NCAA,38,11,20,31,2023,,Matteo,Costantini,,,"[""Matteo"",""Costantini"",""F"",""NCAA"",None,72,173,22.08,38,11,31,0.82,2024]"
Brett Berard,F,69,175,09/09/2002,AHL,71,25,23,48,2023,,Brett,Berard,,,"[""Brett"",""Berard"",""F"",""AHL"",None,69,175,22.02,71,25,48,0.68,2024]"
Elliot Desnoyers,F,71,183,01/21/2002,AHL,63,6,16,22,2023,,Elliot,Desnoyers,,,"[""Elliot"",""Desnoyers"",""F"",""AHL"",None,71,183,22.65,63,6,22,0.35,2024]"
Maksim Berezkin,F,74,201,10/12/2001,KHL,62,8,22,30,2023,,Maksim,Berezkin,,,"[""Maksim"",""Berezkin"",""F"",""KHL"",None,74,201,22.93,62,8,30,0.48,2024]"
Ryder Rolston,F,73,175,10/31/2001,AHL,62,10,9,19,2023,,Ryder,Rolston,,,"[""Ryder"",""Rolston"",""F"",""AHL"",None,73,175,22.88,62,10,19,0.31,2024]"
Ole Julian Bjorgvik-Holm,D,76,204,05/23/2002,ECHL,57,5,28,33,2023,,Ole,Julian,Bjorgvik-Holm,,"[""Ole"",""Julian"",""D"",""ECHL"",None,76,204,22.31,57,5,33,0.58,2024]"
Jaydon Dureau,F,72,176,01/20/2001,ECHL,34,9,16,25,2023,,Jaydon,Dureau,,,"[""Jaydon"",""Dureau"",""F"",""ECHL"",None,72,176,23.65,34,9,25,0.74,2024]"
Raivis Ansons,F,73,190,01/29/2002,AHL,34,2,5,7,2023,,Raivis,Ansons,,,"[""Raivis"",""Ansons"",""F"",""AHL"",None,73,190,22.63,34,2,7,0.21,2024]"
Mason Langenbrunner,D,74,166,09/14/2002,NCAA,32,0,5,5,2023,,Mason,Langenbrunner,,,"[""Mason"",""Langenbrunner"",""D"",""NCAA"",None,74,166,22,32,0,5,0.16,2024]"
William Dufour,F,75,210,01/28/2002,AHL,55,15,10,25,2023,,William,Dufour,,,"[""William"",""Dufour"",""F"",""AHL"",None,75,210,22.63,55,15,25,0.45,2024]"
Kyle Aucoin,D,71,164,07/02/2002,NCAA,8,0,1,1,2023,,Kyle,Aucoin,,,"[""Kyle"",""Aucoin"",""D"",""NCAA"",None,71,164,22.2,8,0,1,0.13,2024]"
